method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,Profile,noise_level
ACT + Detector,0,6000042,metaworld,True,50,0.6478367149993574,0,0,0,0,0.17666028439998627,,True,False,,custom,0.2
ACT + Detector,1,6000043,metaworld,True,51,0.6268889849998232,0,0,0,0,0.18855030834674835,,True,False,,custom,0.2
ACT + Detector,2,6000044,metaworld,True,63,0.6665898989995185,0,0,1,0,0.2065345197916031,,True,False,,custom,0.2
ACT + Detector,3,6000045,metaworld,True,55,0.5891304979995766,0,0,0,0,0.1590830236673355,,True,False,,custom,0.2
ACT + Detector,4,6000046,metaworld,True,56,0.31433527899935143,0,0,1,0,0.2079121470451355,,True,False,,custom,0.2
ACT + Detector,5,6000047,metaworld,True,50,0.4649069059996691,0,0,1,0,0.20451079308986664,,True,False,,custom,0.2
ACT + Detector,6,6000048,metaworld,True,56,0.5411305649995484,0,0,0,0,0.15030185878276825,,True,False,,custom,0.2
ACT + Detector,7,6000049,metaworld,False,200,2.383251297998868,0,0,1,0,0.9971561431884766,,False,True,timeout,custom,0.2
ACT + Detector,8,6000050,metaworld,True,55,0.5761969609993685,0,0,0,0,0.1465797871351242,,True,False,,custom,0.2
ACT + Detector,9,6000051,metaworld,True,54,0.58769108100023,0,0,1,0,0.20303675532341003,,True,False,,custom,0.2
ACT + Detector,10,6000052,metaworld,True,49,0.4578362840002228,0,0,1,0,0.21982669830322266,,True,False,,custom,0.2
ACT + Detector,11,6000053,metaworld,True,53,0.49338914299914904,0,0,0,0,0.14510659873485565,,True,False,,custom,0.2
ACT + Detector,12,6000054,metaworld,False,200,1.8324285759990744,0,0,1,0,0.8551487326622009,,False,True,timeout,custom,0.2
ACT + Detector,13,6000055,metaworld,False,200,2.02708775300016,0,0,1,0,0.9987493753433228,,False,True,object_dropped,custom,0.2
ACT + Detector,14,6000056,metaworld,True,58,0.5067534059999161,0,0,0,0,0.15852712094783783,,True,False,,custom,0.2
ACT + Detector,15,6000057,metaworld,False,200,2.2180307890012045,0,0,1,0,0.9982421398162842,,False,True,timeout,custom,0.2
ACT + Detector,16,6000058,metaworld,False,200,1.9965316059988254,0,0,1,0,0.9997121691703796,,False,True,object_dropped,custom,0.2
ACT + Detector,17,6000059,metaworld,False,200,1.8610008229989035,0,0,1,0,0.9969493746757507,,False,True,object_dropped,custom,0.2
ACT + Detector,18,6000060,metaworld,False,200,2.553554461999738,0,0,1,0,0.9976588487625122,,False,True,timeout,custom,0.2
ACT + Detector,19,6000061,metaworld,True,54,1.0234260619999986,0,0,1,0,0.20897985994815826,,True,False,,custom,0.2
ACT + Detector,20,6000062,metaworld,True,54,0.5922610689995054,0,0,0,0,0.18567954003810883,,True,False,,custom,0.2
ACT + Detector,21,6000063,metaworld,False,200,2.644184505999874,0,0,1,0,0.9998168349266052,,False,True,timeout,custom,0.2
ACT + Detector,22,6000064,metaworld,True,51,0.46637163299965323,0,0,0,0,0.1487804800271988,,True,False,,custom,0.2
ACT + Detector,23,6000065,metaworld,False,200,1.861348435999389,0,0,1,0,0.9249441623687744,,False,True,timeout,custom,0.2
ACT + Detector,24,6000066,metaworld,False,200,1.9167759669999214,0,0,1,0,0.9995174407958984,,False,True,object_dropped,custom,0.2
ACT + Detector,25,6000067,metaworld,True,55,0.4721544610001729,0,0,0,0,0.16984562575817108,,True,False,,custom,0.2
ACT + Detector,26,6000068,metaworld,False,200,2.220669600999827,0,0,1,0,0.7497192025184631,,False,True,timeout,custom,0.2
ACT + Detector,27,6000069,metaworld,False,200,2.174502943000334,0,0,1,0,0.9970070719718933,,False,True,timeout,custom,0.2
ACT + Detector,28,6000070,metaworld,True,54,0.5155538700000761,0,0,0,0,0.1723783314228058,,True,False,,custom,0.2
ACT + Detector,29,6000071,metaworld,True,56,0.5094212989988591,0,0,0,0,0.15013714134693146,,True,False,,custom,0.2
ACT + Detector,30,6000072,metaworld,False,200,1.9924330480007484,0,0,1,0,0.9395286440849304,,False,True,timeout,custom,0.2
ACT + Detector,31,6000073,metaworld,True,50,0.6697857679992012,0,0,0,0,0.1809110790491104,,True,False,,custom,0.2
ACT + Detector,32,6000074,metaworld,False,200,1.6043507459999091,0,0,1,0,0.9988204836845398,,False,True,timeout,custom,0.2
ACT + Detector,33,6000075,metaworld,False,200,1.038131766999868,0,0,1,0,0.9981744289398193,,False,True,timeout,custom,0.2
ACT + Detector,34,6000076,metaworld,False,200,1.5012685519996012,0,0,1,0,0.9994158744812012,,False,True,timeout,custom,0.2
ACT + Detector,35,6000077,metaworld,False,200,1.456936439000856,0,0,1,0,0.9881132245063782,,False,True,object_dropped,custom,0.2
ACT + Detector,36,6000078,metaworld,False,200,1.9699420949982596,0,0,1,0,0.7192204594612122,,False,True,timeout,custom,0.2
ACT + Detector,37,6000079,metaworld,False,200,1.9796419190006418,0,0,1,0,0.9989275336265564,,False,True,timeout,custom,0.2
ACT + Detector,38,6000080,metaworld,True,50,0.8369034030001785,0,0,1,0,0.22867411375045776,,True,False,,custom,0.2
ACT + Detector,39,6000081,metaworld,True,66,0.6696151819996885,0,0,1,0,0.22148406505584717,,True,False,,custom,0.2
ACT + Detector,40,6000082,metaworld,True,52,0.5505612360011582,0,0,0,0,0.12540066242218018,,True,False,,custom,0.2
ACT + Detector,41,6000083,metaworld,True,59,0.5456658940001944,0,0,1,0,0.28120940923690796,,True,False,,custom,0.2
ACT + Detector,42,6000084,metaworld,True,57,0.6422704809992865,0,0,1,0,0.3005502223968506,,True,False,,custom,0.2
ACT + Detector,43,6000085,metaworld,True,54,0.689154353000049,0,0,0,0,0.16346806287765503,,True,False,,custom,0.2
ACT + Detector,44,6000086,metaworld,False,200,2.5476737999997567,0,0,1,0,0.9882453680038452,,False,True,timeout,custom,0.2
ACT + Detector,45,6000087,metaworld,True,53,0.6770611949996237,0,0,0,0,0.19780844449996948,,True,False,,custom,0.2
ACT + Detector,46,6000088,metaworld,False,200,1.9807493299995258,0,0,1,0,0.8862671256065369,,False,True,timeout,custom,0.2
ACT + Detector,47,6000089,metaworld,True,52,0.4885555100008787,0,0,0,0,0.11729240417480469,,True,False,,custom,0.2
ACT + Detector,48,6000090,metaworld,False,200,2.2769480229999317,0,0,1,0,0.9985679388046265,,False,True,timeout,custom,0.2
ACT + Detector,49,6000091,metaworld,True,54,0.7261975569999777,0,0,0,0,0.17819233238697052,,True,False,,custom,0.2
ACT + Detector,50,6000092,metaworld,True,51,0.4886258099995757,0,0,0,0,0.12962710857391357,,True,False,,custom,0.2
ACT + Detector,51,6000093,metaworld,True,56,0.5891684819998773,0,0,0,0,0.19766594469547272,,True,False,,custom,0.2
ACT + Detector,52,6000094,metaworld,False,200,1.484081029000663,0,0,1,0,0.9942930936813354,,False,True,timeout,custom,0.2
ACT + Detector,53,6000095,metaworld,False,200,1.4880126120006025,0,0,1,0,0.9907678961753845,,False,True,object_dropped,custom,0.2
ACT + Detector,54,6000096,metaworld,False,200,2.011596587000895,0,0,1,0,0.9542940258979797,,False,True,timeout,custom,0.2
ACT + Detector,55,6000097,metaworld,False,200,2.0813870609999867,0,0,1,0,0.9539440274238586,,False,True,timeout,custom,0.2
ACT + Detector,56,6000098,metaworld,True,46,0.4597725650000939,0,0,1,0,0.2037653923034668,,True,False,,custom,0.2
ACT + Detector,57,6000099,metaworld,False,200,2.084499684999173,0,0,1,0,0.9987053871154785,,False,True,timeout,custom,0.2
ACT + Detector,58,6000100,metaworld,True,52,0.5346192810011416,0,0,0,0,0.17486198246479034,,True,False,,custom,0.2
ACT + Detector,59,6000101,metaworld,False,200,2.0955134340001678,0,0,1,0,0.9961285591125488,,False,True,object_dropped,custom,0.2
ACT + Detector,60,6000102,metaworld,False,200,1.5788215219999984,0,0,1,0,0.9986029267311096,,False,True,timeout,custom,0.2
ACT + Detector,61,6000103,metaworld,True,48,0.5616902460005804,0,0,1,0,0.20663240551948547,,True,False,,custom,0.2
ACT + Detector,62,6000104,metaworld,True,58,0.6352884810003161,0,0,0,0,0.165674090385437,,True,False,,custom,0.2
ACT + Detector,63,6000105,metaworld,True,50,0.47242470999844954,0,0,0,0,0.16312167048454285,,True,False,,custom,0.2
