method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,Profile,noise_level,Benchmark Eligible
REIM (ACT + Detector + Recovery),0,8200042,metaworld,True,62,0.13054694899983588,1,1,1,54,0.3274739682674408,task_success_while_recovery_active_per_intervention,True,False,,c0a3385ef66f94cde333dfba729ca5a24c73a8474a4d0ba06d0c143c83a6fb00,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,custom,0.2,False
REIM (ACT + Detector + Recovery),1,8200043,metaworld,True,60,0.11843410700021195,1,1,1,54,0.548085629940033,task_success_while_recovery_active_per_intervention,True,False,,1f182285e0b7869e348380d2868a8b21a057ae344e17f254d8cf064b9be6a82d,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,0f719f94ef165c0b816b8b10c3f4f5fcf802c9f5a25141035590310315749280,,,custom,0.2,False
REIM (ACT + Detector + Recovery),2,8200044,metaworld,True,58,0.11587071399844717,1,1,1,52,0.22293372452259064,task_success_while_recovery_active_per_intervention,True,False,,c98b4e4b21e47272b01d615e6896a631838f606772d4bf88f20862283dbd4217,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,56b7f182edcfeefa9301e1edd53d7f36e4418de7e6df1b54b0f0c298cde1b3cd,,,custom,0.2,False
REIM (ACT + Detector + Recovery),3,8200045,metaworld,True,54,0.1342767839996668,1,1,1,40,0.1985446959733963,task_success_while_recovery_active_per_intervention,True,False,,a928166e805238d69f2a7c170b1b3857d2a871334b47c040a69de0c3371abe1d,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,7c3391ee418e26d47c002810bc00065e4dd0b6728c969d2338ad549ad01ebb0a,,,custom,0.2,False
REIM (ACT + Detector + Recovery),4,8200046,metaworld,True,62,0.17440875600004802,1,1,1,40,0.1345435380935669,task_success_while_recovery_active_per_intervention,True,False,,85a495adc7db694f3ed36b0049febf350554de2acedfc6d009447b76d796156c,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,1c856fdcb5da12c3fa2d15b38741aa980fa3a47e64fb99f8635817590128f9ea,,,custom,0.2,False
REIM (ACT + Detector + Recovery),5,8200047,metaworld,True,57,0.12435584000195377,1,1,1,48,0.23745876550674438,task_success_while_recovery_active_per_intervention,True,False,,037cbd70a0156c5d565e4e5c96c10eab4add1082e965137952b2409bbb7cfcea,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,38329c6b97bbe7d133bf007c22742dca5f0cd7258f8d7199135c6c2371ae591d,,,custom,0.2,False
REIM (ACT + Detector + Recovery),6,8200048,metaworld,True,56,0.1279782769997837,1,1,1,45,0.20513524115085602,task_success_while_recovery_active_per_intervention,True,False,,01e54998cfce36766942f61aa439b3719f7594657df18a56508ec0512b0b59f9,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,6cb8d983459a8e57d4ae53a86da2394015cabba2d7c306dcaf7b14af979ca230,,,custom,0.2,False
REIM (ACT + Detector + Recovery),7,8200049,metaworld,True,56,0.126656128999457,1,1,1,46,0.11415517330169678,task_success_while_recovery_active_per_intervention,True,False,,a61bdec739f4d37bfe849420030009a8dbe658763b4bc04461a651fd4ab39470,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,742509487aeb71d366f1ddafa1cb12db2f7cfefe17c4ca89c98cffb67c1c8619,,,custom,0.2,False
REIM (ACT + Detector + Recovery),8,8200050,metaworld,True,57,0.14380224699925748,1,1,1,42,0.1923016756772995,task_success_while_recovery_active_per_intervention,True,False,,7c2a993521d007406a85a6bef4a03f0e81a10ac96b7009448646fb5f86958b79,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,7c3391ee418e26d47c002810bc00065e4dd0b6728c969d2338ad549ad01ebb0a,,,custom,0.2,False
REIM (ACT + Detector + Recovery),9,8200051,metaworld,True,60,0.1408370949975506,1,1,1,48,0.16029442846775055,task_success_while_recovery_active_per_intervention,True,False,,f3ec4da9422b651bcc4f3d1f0980c2dbc27b8150f055888b600af6db65b18d10,bce931c8f7f4b2ca6d96ac63f5e3bd3c7b1a2d9a694728801ff6b1a12baf8802,a0b103bf3e43f4aa92753185301eba5e2e31594285004b99f51a59b33bd2d620,,,custom,0.2,False
